17988 usec, 9160 usec
4180 usec, 840 usec
280 usec, 780 usec
320 usec, 760 usec
340 usec, 740 usec
380 usec, 700 usec
420 usec, 660 usec
420 usec, 700 usec
420 usec, 680 usec
440 usec, 640 usec
1560 usec, 660 usec
1560 usec, 640 usec
1580 usec, 620 usec
1600 usec, 600 usec
1620 usec, 580 usec
1640 usec, 580 usec
1640 usec, 580 usec
1620 usec, 580 usec
1660 usec, 560 usec
540 usec, 560 usec
1660 usec, 560 usec
1660 usec, 560 usec
540 usec, 560 usec
520 usec, 600 usec
520 usec, 580 usec
540 usec, 560 usec
520 usec, 600 usec
1640 usec, 560 usec
540 usec, 560 usec
540 usec, 560 usec
1640 usec, 600 usec
1640 usec, 560 usec
1660 usec, 560 usec
1640 usec, 580 usec
39460 usec, 8940 usec
2200 usec, 580 usec
